namn,lat,lon,elev,synlig_inom,scale,rotation
ANKAR,56.8790818,14.8015807,105.00
# KALAS-raden (publika ingangen index.html): stapunkt + riktning mot clownen.
#   Geometri (clownen MONTERAD 2026-06-05):
#     clown    = 1 m rakt syd om ANKAR  -> 56.8790728, 14.8015807
#     stapunkt = telefonen 1 m fran clownen (clownen fyller rutan da)
#                = 2 m rakt syd om ANKAR -> 56.8790638
#     bearing  = 0.0 (anvandaren tittar rakt norrut mot clownen)
#   Justering: varje meter syd = -0.0000090 pa lat.
KALAS,56.8790638,14.8015807,105.00,0.0
#SPARR_1, 56.8789476, 14.8016552, 56.8789553, 14.8014751
#SPARR_2, 56.8790002, 14.8016609, 56.8790490, 14.8014922
#SPARR_3, 56.8790956, 14.8016752, 56.8791029, 14.8015004
#SPARR_4, 56.8792178, 14.8016934, 56.8792252, 14.8015190

#SPARR_1, 56.8790838, 14.8014922, 56.8790778, 14.8016510
#SPARR_2, 56.8790379, 14.8015300, 56.879061, 14.8016058

# Pyramidmarkör (Metod B, styv, platt på pyramidtoppen vid ANKAR/Tarta_3):
#   bearing 5.70 = utskriftens OVERKANT pekar mot gatans norrriktning vid montering.
#     (Hamnar allt 180 grader fel: byt till 185.70)
#   elev 107.00 = mark 105.00 + pyramidhojd 2.00 m
#   0.29 = utskriftsbredd i meter (A3). Verifiera efter utskrift:
#     mat svarta ArUco-kvadraten och multiplicera med 1.714
Prick_1.glb,56.8788028,14.8015606,105.00,30,1
Prick_2.glb,56.8788097,14.8015602,105.00,30,1
Prick_3.glb,56.8788159,14.8015533,105.00,30,1
Prick_4.glb,56.8788215,14.8015467,105.00,30,1
Prick_5.glb,56.8788277,14.8015445,105.00,30,1
Prick_6.glb,56.8788339,14.8015448,105.00,30,1
Prick_7.glb,56.8788491,14.8015471,105.00,30,1
Prick_8.glb,56.8788484,14.8015516,105.00,30,1
Prick_9.glb,56.8788567,14.8015578,105.00,30,1
Prick_10.glb,56.878862,14.8015627,105.00,30,1
Prick_11.glb,56.8788685,14.8015667,105.00,30,1
Prick_12.glb,56.8788783,14.8015712,105.00,30,1
Prick_13.glb,56.8788844,14.8015741,105.00,30,1
Prick_14.glb,56.87889,14.8015752,105.00,30,1
Prick_15.glb,56.8788967,14.8015763,105.00,30,1
Prick_16.glb,56.8789032,14.8015749,105.00,30,1
Prick_17.glb,56.8789114,14.8015695,105.00,30,1
Prick_18.glb,56.8789179,14.8015665,105.00,30,1
Prick_19.glb,56.8789241,14.8015625,105.00,30,1
Prick_20.glb,56.8789364,14.8015561,105.00,30,1
Prick_21.glb,56.8789436,14.8015572,105.00,30,1
Prick_22.glb,56.8789496,14.8015581,105.00,30,1
Prick_23.glb,56.8789552,14.8015611,105.00,30,1
Prick_24.glb,56.878963,14.8015607,105.00,30,1
Prick_25.glb,56.8789714,14.8015614,105.00,30,1
Prick_26.glb,56.8789809,14.8015608,105.00,30,1
Prick_27.glb,56.8789869,14.8015585,105.00,30,1
Prick_28.glb,56.878992,14.8015534,105.00,30,1
Prick_29.glb,56.8789966,14.8015486,105.00,30,1
Prick_30.glb,56.8790028,14.8015385,105.00,30,1
Prick_31.glb,56.8790081,14.8015296,105.00,30,1
Prick_32.glb,56.8790119,14.8015221,105.00,30,1
Prick_33.glb,56.8790151,14.8015173,105.00,30,1
Prick_34.glb,56.8790206,14.8015126,105.00,30,1
Prick_35.glb,56.8790267,14.8015101,105.00,30,1
Prick_36.glb,56.8790329,14.8015093,105.00,30,1
Prick_37.glb,56.8790397,14.8015118,105.00,30,1
Prick_38.glb,56.8790446,14.8015247,105.00,30,1
Prick_39.glb,56.8790452,14.8015387,105.00,30,1
Prick_40.glb,56.879044,14.8015482,105.00,30,1
Prick_41.glb,56.8790434,14.8015603,105.00,30,1
Prick_42.glb,56.8790432,14.8015706,105.00,30,1
Prick_43.glb,56.8790436,14.8015826,105.00,30,1
Prick_44.glb,56.8790452,14.8015977,105.00,30,1
